date,supplier,factory,warehouse,retailer,volume,lead_time_days,transport_cost,delay_days,quality_score,defect_rate,production_cost
2023-01-05,Alpha Materials,Main Plant,EU Hub,EuroMart,520,44,3020,2,0.89,0.030,23400
2023-02-05,Alpha Materials,Main Plant,EU Hub,EuroMart,480,47,2880,3,0.88,0.032,21600
2023-03-05,Alpha Materials,Main Plant,EU Hub,EuroMart,560,45,3160,2,0.90,0.028,25200
2023-04-05,Alpha Materials,Main Plant,EU Hub,EuroMart,500,43,2950,1,0.91,0.027,22500
2023-05-05,Alpha Materials,Main Plant,EU Hub,EuroMart,540,48,3090,3,0.87,0.034,24300
2023-06-05,Alpha Materials,Main Plant,EU Hub,EuroMart,490,46,2915,2,0.89,0.031,22050
2023-07-05,Alpha Materials,Main Plant,EU Hub,EuroMart,510,44,2985,2,0.90,0.029,22950
2023-08-05,Alpha Materials,Main Plant,EU Hub,EuroMart,530,49,3055,4,0.86,0.036,23850
2023-09-05,Alpha Materials,Main Plant,EU Hub,EuroMart,475,45,2863,2,0.88,0.031,21375
2023-01-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,280,46,1780,2,0.89,0.030,12600
2023-02-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,310,44,1885,1,0.91,0.028,13950
2023-03-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,260,47,1710,3,0.87,0.033,11700
2023-04-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,295,45,1833,2,0.89,0.030,13275
2023-05-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,320,48,1920,3,0.86,0.035,14400
2023-06-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,270,43,1745,1,0.91,0.028,12150
2023-07-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,300,46,1850,2,0.88,0.032,13500
2023-08-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,285,50,1798,4,0.85,0.037,12825
2023-09-10,Alpha Materials,Main Plant,EU Hub,GlobalStore,275,44,1763,1,0.90,0.029,12375
2023-01-15,Beta Components,Main Plant,EU Hub,EuroMart,450,28,2775,0,0.95,0.013,17100
2023-02-15,Beta Components,Main Plant,EU Hub,EuroMart,500,30,2950,1,0.94,0.015,19000
2023-03-15,Beta Components,Main Plant,EU Hub,EuroMart,420,27,2670,0,0.96,0.012,15960
2023-04-15,Beta Components,Main Plant,EU Hub,EuroMart,480,31,2880,1,0.93,0.016,18240
2023-05-15,Beta Components,Main Plant,EU Hub,EuroMart,510,29,2985,0,0.95,0.014,19380
2023-06-15,Beta Components,Main Plant,EU Hub,EuroMart,460,32,2810,2,0.92,0.018,17480
2023-07-15,Beta Components,Main Plant,EU Hub,EuroMart,490,28,2915,0,0.95,0.013,18620
2023-08-15,Beta Components,Main Plant,EU Hub,EuroMart,470,30,2845,1,0.94,0.016,17860
2023-09-15,Beta Components,Main Plant,EU Hub,EuroMart,440,26,2740,0,0.96,0.011,16720
2023-01-20,Beta Components,Secondary Plant,US Hub,AmeriShop,380,29,3096,0,0.95,0.013,14440
2023-02-20,Beta Components,Secondary Plant,US Hub,AmeriShop,420,27,3264,0,0.96,0.012,15960
2023-03-20,Beta Components,Secondary Plant,US Hub,AmeriShop,360,31,3012,1,0.93,0.017,13680
2023-04-20,Beta Components,Secondary Plant,US Hub,AmeriShop,400,28,3180,0,0.95,0.014,15200
2023-05-20,Beta Components,Secondary Plant,US Hub,AmeriShop,440,30,3348,1,0.94,0.015,16720
2023-06-20,Beta Components,Secondary Plant,US Hub,AmeriShop,370,25,3054,0,0.97,0.011,14060
2023-07-20,Beta Components,Secondary Plant,US Hub,AmeriShop,410,29,3222,0,0.95,0.013,15580
2023-08-20,Beta Components,Secondary Plant,US Hub,AmeriShop,390,32,3138,2,0.92,0.019,14820
2023-09-20,Beta Components,Secondary Plant,US Hub,AmeriShop,350,27,2970,0,0.96,0.012,13300
